step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
535,0.00098,1.0,,
536,0.86289,0.88889,,
537,0.0,1.0,,
538,0.00082,1.0,,
539,0.0,1.0,,
540,2.97882,0.83333,,
541,0.00016,1.0,,
542,0.0,1.0,,
543,2.10358,0.88889,,
544,0.33172,0.88889,,
545,0.0,1.0,,
546,1.81135,0.88889,,
547,0.0,1.0,,
548,1.93748,0.88889,,
549,0.0,1.0,,
550,1.45409,0.88889,,
551,1.0714,0.88889,,
552,0.0,1.0,,
553,0.0,1.0,,
554,2.17751,0.77778,,
555,0.03192,1.0,,
556,0.0,1.0,,
557,4e-05,1.0,,
558,0.0,1.0,,
559,0.60307,0.88889,,
560,0.0,1.0,,
561,0.00031,1.0,,
562,0.51083,0.88889,,
563,0.0,1.0,,
564,0.0,1.0,,
565,0.0,1.0,,
566,1.514,0.88889,,
567,0.00201,1.0,,
568,0.0,1.0,,
569,0.07049,1.0,,
570,0.0,1.0,,
571,0.92317,0.88889,,
572,0.0,1.0,,
573,0.01024,1.0,,
574,0.9297,0.88889,,
575,1.86014,0.88889,,
576,0.0,1.0,,
577,0.0,1.0,,
578,0.58202,0.88889,,
579,0.0,1.0,,
580,0.07426,1.0,,
581,0.0,1.0,,
582,0.0,1.0,,
583,5e-05,1.0,,
584,0.0,1.0,,
585,1.47146,0.88889,,
586,2.7051,0.77778,,
587,0.0,1.0,,
588,0.00014,1.0,,
589,2.30209,0.77778,,
590,0.00017,1.0,,
591,1.91562,0.77778,,
592,1.65349,0.88889,,
593,0.0,1.0,,
594,0.0,1.0,,
595,0.0,1.0,,
596,1.89783,0.88889,,
597,0.0,1.0,,
598,0.0,1.0,,
599,1.90233,0.88889,,
600,0.0,1.0,,
601,1.6222,0.88889,,
602,0.0,1.0,,
603,1.22383,0.88889,,
604,0.0,1.0,,
605,0.83741,0.88889,,
606,6e-05,1.0,,
607,0.65003,0.88889,,
608,0.0,1.0,,
609,0.0,1.0,,
610,0.0,1.0,,
611,2.26585,0.88889,,
612,0.0,1.0,,
613,0.0,1.0,,
614,0.0,1.0,,
615,0.0,1.0,,
616,1.38817,0.88889,,
617,1.82771,0.88889,,
618,0.0,1.0,,
619,1.04675,0.88889,,
620,0.0,1.0,,
621,1.77558,0.88889,,
622,0.0,1.0,,
623,2.22439,0.88889,,
624,1.36334,0.88889,,
625,0.00225,1.0,,
626,0.0,1.0,,
627,0.0,1.0,,
628,0.0001,1.0,,
629,3.04306,0.77778,,
630,0.0,1.0,,
631,1e-05,1.0,,
632,0.0,1.0,,
633,0.0,1.0,,
634,0.07716,0.88889,,
635,1e-05,1.0,,
636,0.50583,0.88889,,
637,0.0,1.0,,
638,0.0,0.66667,,
639,0.0,1.0,,
640,1.87048,0.88889,,
641,1.71933,0.88889,,
642,0.03126,1.0,,
643,2.11564,0.77778,,
644,0.0,1.0,,
645,0.88251,0.88889,,
646,0.0,1.0,,
647,0.0,1.0,,
648,6e-05,1.0,,
649,0.0,1.0,,
650,2.64067,0.75,,
651,0.0,1.0,,
652,1.32707,0.77778,,
653,0.00022,1.0,,
654,0.0,1.0,,
655,0.0,1.0,,
656,0.0,1.0,,
657,0.0,1.0,,
658,0.0,1.0,,
659,1.61253,0.88889,,
660,0.0,1.0,,
661,8e-05,1.0,,
662,0.0,1.0,,
663,1.43229,0.88889,,
664,0.0,1.0,,
665,2.44332,0.88889,,
666,0.0,1.0,,
667,0.0,1.0,,
668,0.0,1.0,,
669,0.0,0.66667,,
670,0.76672,0.88889,,
671,1e-05,1.0,,
672,2.03526,0.88889,,
673,3e-05,1.0,,
674,1.65587,0.88889,,
675,0.0,1.0,,
676,0.62564,0.88889,,
677,0.00124,1.0,,
678,1e-05,1.0,,
679,2.21334,0.77778,,
680,1.59131,0.88889,,
681,0.0,1.0,,
682,0.00029,1.0,,
683,0.53052,0.88889,,
684,1.42847,0.88889,,
685,0.0,1.0,,
686,0.0,1.0,,
687,0.96847,0.88889,,
688,0.0,1.0,,
689,1.19671,0.88889,,
690,1.17463,0.77778,,
691,3.67463,0.77778,,
692,1e-05,1.0,,
693,0.0,1.0,,
694,0.0001,1.0,,
695,0.1769,0.88889,,
696,0.0,1.0,,
697,0.0,0.5,,
698,1e-05,1.0,,
699,0.09203,0.88889,,
700,0.0,1.0,,
701,0.55355,0.88889,,
702,0.0,1.0,,
703,0.0,1.0,,
704,1.51852,0.88889,,
705,0.0,1.0,,
706,0.0,1.0,,
707,0.0,1.0,,
708,1.61855,0.88889,,
709,0.0,1.0,,
710,0.00012,1.0,,
711,1.54759,0.88889,,
712,0.00535,1.0,,
713,0.0,1.0,,
714,1.72095,0.88889,,
715,0.33024,0.88889,,
716,1.54448,0.88889,,
717,2.74787,0.77778,,
718,0.0,1.0,,
719,0.04921,1.0,,
720,1.40342,0.88889,,
721,0.0,1.0,,
722,0.0,1.0,,
723,0.0,1.0,,
724,0.0,1.0,,
725,1e-05,1.0,,
